,ID,Pred
0,"['2015', '3106', '3107']",0.0
1,"['2015', '3106', '3110']",0.0
2,"['2015', '3106', '3113']",0.0
3,"['2015', '3106', '3114']",0.0
4,"['2015', '3106', '3116']",0.0
5,"['2015', '3106', '3124']",0.0
6,"['2015', '3106', '3129']",0.0
7,"['2015', '3106', '3140']",0.0
8,"['2015', '3106', '3143']",0.0
9,"['2015', '3106', '3151']",0.0
10,"['2015', '3106', '3163']",0.0
11,"['2015', '3106', '3169']",0.0
12,"['2015', '3106', '3173']",0.0
13,"['2015', '3106', '3177']",0.0
14,"['2015', '3106', '3181']",0.0
15,"['2015', '3106', '3195']",0.0
16,"['2015', '3106', '3199']",0.0
17,"['2015', '3106', '3203']",0.0
18,"['2015', '3106', '3211']",0.0
19,"['2015', '3106', '3234']",0.0
20,"['2015', '3106', '3235']",0.0
21,"['2015', '3106', '3241']",0.0
22,"['2015', '3106', '3246']",0.0
23,"['2015', '3106', '3251']",0.0
24,"['2015', '3106', '3257']",0.0
25,"['2015', '3106', '3261']",0.0
26,"['2015', '3106', '3268']",0.0
27,"['2015', '3106', '3274']",0.0
28,"['2015', '3106', '3278']",0.0
29,"['2015', '3106', '3280']",0.0
30,"['2015', '3106', '3285']",0.0
31,"['2015', '3106', '3304']",0.0
32,"['2015', '3106', '3308']",0.0
33,"['2015', '3106', '3314']",0.0
34,"['2015', '3106', '3321']",0.0
35,"['2015', '3106', '3322']",0.0
36,"['2015', '3106', '3323']",0.0
37,"['2015', '3106', '3325']",0.0
38,"['2015', '3106', '3326']",0.0
39,"['2015', '3106', '3328']",0.0
40,"['2015', '3106', '3329']",0.0
41,"['2015', '3106', '3333']",0.0
42,"['2015', '3106', '3338']",0.0
43,"['2015', '3106', '3343']",0.0
44,"['2015', '3106', '3346']",0.0
45,"['2015', '3106', '3353']",0.0
46,"['2015', '3106', '3355']",0.0
47,"['2015', '3106', '3366']",0.47058823529411764
48,"['2015', '3106', '3371']",0.0
49,"['2015', '3106', '3376']",0.0
50,"['2015', '3106', '3378']",0.0
51,"['2015', '3106', '3383']",0.0
52,"['2015', '3106', '3390']",0.0
53,"['2015', '3106', '3393']",0.0
54,"['2015', '3106', '3397']",0.0
55,"['2015', '3106', '3398']",0.5
56,"['2015', '3106', '3400']",0.0
57,"['2015', '3106', '3401']",0.0
58,"['2015', '3106', '3408']",0.0
59,"['2015', '3106', '3443']",0.0
60,"['2015', '3106', '3449']",0.0
61,"['2015', '3106', '3453']",0.0
62,"['2015', '3106', '3455']",0.0
63,"['2015', '3107', '3110']",1.0
64,"['2015', '3107', '3113']",0.0
65,"['2015', '3107', '3114']",0.0
66,"['2015', '3107', '3116']",0.0
67,"['2015', '3107', '3124']",0.0
68,"['2015', '3107', '3129']",0.0
69,"['2015', '3107', '3140']",0.0
70,"['2015', '3107', '3143']",0.0
71,"['2015', '3107', '3151']",0.0
72,"['2015', '3107', '3163']",0.0
73,"['2015', '3107', '3169']",0.0
74,"['2015', '3107', '3173']",0.0
75,"['2015', '3107', '3177']",0.0
76,"['2015', '3107', '3181']",0.0
77,"['2015', '3107', '3195']",0.0
78,"['2015', '3107', '3199']",0.0
79,"['2015', '3107', '3203']",0.0
80,"['2015', '3107', '3211']",0.0
81,"['2015', '3107', '3234']",0.0
82,"['2015', '3107', '3235']",0.0
83,"['2015', '3107', '3241']",0.0
84,"['2015', '3107', '3246']",0.0
85,"['2015', '3107', '3251']",0.0
86,"['2015', '3107', '3257']",0.0
87,"['2015', '3107', '3261']",0.0
88,"['2015', '3107', '3268']",0.0
89,"['2015', '3107', '3274']",0.0
90,"['2015', '3107', '3278']",0.0
91,"['2015', '3107', '3280']",0.0
92,"['2015', '3107', '3285']",0.0
93,"['2015', '3107', '3304']",0.0
94,"['2015', '3107', '3308']",0.0
95,"['2015', '3107', '3314']",0.0
96,"['2015', '3107', '3321']",0.0
97,"['2015', '3107', '3322']",0.0
98,"['2015', '3107', '3323']",0.0
99,"['2015', '3107', '3325']",0.0
100,"['2015', '3107', '3326']",0.0
101,"['2015', '3107', '3328']",0.0
102,"['2015', '3107', '3329']",0.0
103,"['2015', '3107', '3333']",0.0
104,"['2015', '3107', '3338']",0.0
105,"['2015', '3107', '3343']",0.0
106,"['2015', '3107', '3346']",0.0
107,"['2015', '3107', '3353']",0.0
108,"['2015', '3107', '3355']",0.0
109,"['2015', '3107', '3366']",1.0
110,"['2015', '3107', '3371']",0.0
111,"['2015', '3107', '3376']",0.0
112,"['2015', '3107', '3378']",0.0
113,"['2015', '3107', '3383']",0.7
114,"['2015', '3107', '3390']",0.0
115,"['2015', '3107', '3393']",0.0
116,"['2015', '3107', '3397']",0.0
117,"['2015', '3107', '3398']",0.0
118,"['2015', '3107', '3400']",0.0
119,"['2015', '3107', '3401']",0.0
120,"['2015', '3107', '3408']",0.0
121,"['2015', '3107', '3443']",0.0
122,"['2015', '3107', '3449']",0.0
123,"['2015', '3107', '3453']",0.0
124,"['2015', '3107', '3455']",0.0
125,"['2015', '3110', '3113']",0.0
126,"['2015', '3110', '3114']",0.0
127,"['2015', '3110', '3116']",0.0
128,"['2015', '3110', '3124']",0.0
129,"['2015', '3110', '3129']",0.0
130,"['2015', '3110', '3140']",0.0
131,"['2015', '3110', '3143']",0.0
132,"['2015', '3110', '3151']",0.0
133,"['2015', '3110', '3163']",0.0
134,"['2015', '3110', '3169']",0.0
135,"['2015', '3110', '3173']",0.0
136,"['2015', '3110', '3177']",0.0
137,"['2015', '3110', '3181']",0.0
138,"['2015', '3110', '3195']",0.0
139,"['2015', '3110', '3199']",0.0
140,"['2015', '3110', '3203']",0.5454545454545454
141,"['2015', '3110', '3211']",1.0
142,"['2015', '3110', '3234']",0.0
143,"['2015', '3110', '3235']",0.0
144,"['2015', '3110', '3241']",0.1875
145,"['2015', '3110', '3246']",0.0
146,"['2015', '3110', '3251']",0.0
147,"['2015', '3110', '3257']",0.0
148,"['2015', '3110', '3261']",0.0
149,"['2015', '3110', '3268']",0.0
150,"['2015', '3110', '3274']",0.0
151,"['2015', '3110', '3278']",0.0
152,"['2015', '3110', '3280']",0.0
153,"['2015', '3110', '3285']",0.0
154,"['2015', '3110', '3304']",0.0
155,"['2015', '3110', '3308']",0.0
156,"['2015', '3110', '3314']",0.0
157,"['2015', '3110', '3321']",0.0
158,"['2015', '3110', '3322']",0.0
159,"['2015', '3110', '3323']",0.0
160,"['2015', '3110', '3325']",0.0
161,"['2015', '3110', '3326']",0.0
162,"['2015', '3110', '3328']",0.0
163,"['2015', '3110', '3329']",0.0
164,"['2015', '3110', '3333']",0.0
165,"['2015', '3110', '3338']",0.0
166,"['2015', '3110', '3343']",0.25
167,"['2015', '3110', '3346']",0.0
168,"['2015', '3110', '3353']",0.0
169,"['2015', '3110', '3355']",0.0
170,"['2015', '3110', '3366']",0.0
171,"['2015', '3110', '3371']",0.0
172,"['2015', '3110', '3376']",0.0
173,"['2015', '3110', '3378']",0.0
174,"['2015', '3110', '3383']",1.0
175,"['2015', '3110', '3390']",0.0
176,"['2015', '3110', '3393']",1.0
177,"['2015', '3110', '3397']",0.0
178,"['2015', '3110', '3398']",0.0
179,"['2015', '3110', '3400']",0.0
